Size of Data, Degree of Sortedness, Bubble Runtime, Bubble Footprint, Selection Runtime, Selection Footprint, Insertion Runtime, Insertion Footprint, MergeSort Runtime, MergeSort Footprint, QuickSort Runtime, QuickSort Footprint
5610, 7890919, 3.31383352, 15.80234375, 1.45997486, 15.80234375, 1.47496214, 15.80234375, 0.27407290, 15.80468750, 0.37376852, 15.80468750
5710, 8210207, 3.31724524, 15.80468750, 1.50357840, 15.80468750, 1.49723386, 15.80468750, 0.27937630, 15.80468750, 0.37884156, 15.80468750
5810, 8502986, 3.50277332, 15.80468750, 1.57740280, 15.80468750, 1.55451780, 15.80468750, 0.27544468, 15.80468750, 0.38666044, 15.80468750
5910, 8797320, 3.37111194, 15.82343750, 1.60866560, 15.82343750, 1.59710244, 15.82343750, 0.27776448, 15.82812500, 0.36880168, 15.82812500
6010, 9135408, 3.43167168, 15.82812500, 1.64847642, 15.82812500, 1.70435044, 15.82812500, 0.27415504, 15.82812500, 0.36882548, 15.82812500
6110, 9438282, 3.51800758, 15.82812500, 1.73276904, 15.82812500, 1.68481166, 15.82812500, 0.28002712, 15.82812500, 0.38125140, 15.82812500
6210, 9736242, 3.63408454, 15.82812500, 1.77855074, 15.82812500, 1.75816154, 15.82812500, 0.28468530, 15.82812500, 0.38293838, 15.82812500
6310, 10051075, 3.75208212, 15.81250000, 1.81058470, 15.80312500, 1.82531318, 15.80312500, 0.28228070, 15.80859375, 0.37764986, 15.80859375
6410, 10302676, 3.87417666, 15.83046875, 1.89486654, 15.83046875, 1.86832180, 15.83046875, 0.28760080, 15.83593750, 0.38502666, 15.83593750
6510, 10651358, 3.95049888, 15.83593750, 1.91944224, 15.83593750, 2.05939180, 15.83593750, 0.29120780, 15.83593750, 0.38934124, 15.83593750
6610, 10974544, 4.11342102, 15.83593750, 2.00436244, 15.83593750, 1.97044562, 15.83593750, 0.30991962, 15.83593750, 0.39308010, 15.83593750
6710, 11304277, 4.23849496, 15.83593750, 2.02172416, 15.83593750, 2.07740040, 15.83593750, 0.30236116, 15.83593750, 0.37695428, 15.83593750
6810, 11646270, 4.37809436, 15.83593750, 2.07843678, 15.83593750, 2.11002636, 15.83593750, 0.29772996, 15.83593750, 0.38231192, 15.83593750
6910, 12000516, 4.66035124, 15.83593750, 2.17055676, 15.83593750, 2.13875592, 15.83593750, 0.31206754, 15.83593750, 0.39783866, 15.83593750
7010, 12319108, 4.77631228, 15.83593750, 2.28250812, 15.83593750, 2.20421264, 15.83593750, 0.31516118, 15.83593750, 0.38143772, 15.83593750
7110, 12696252, 4.75414330, 15.83593750, 2.27842850, 15.83593750, 2.29576870, 15.83593750, 0.31079726, 15.83593750, 0.37859724, 15.83593750
7210, 13088495, 4.95374866, 15.83593750, 2.33463600, 15.83593750, 2.36123114, 15.83593750, 0.28863128, 15.83593750, 0.38731282, 15.83593750
7310, 13440588, 5.01022404, 15.83593750, 2.39147394, 15.83593750, 2.39072732, 15.83593750, 0.31068936, 15.83593750, 0.39450936, 15.83593750
7410, 13794745, 5.10371362, 15.83593750, 2.51570698, 15.83593750, 2.72085940, 15.83593750, 0.29765178, 15.83593750, 0.38489694, 15.83593750
7510, 14149628, 5.25245262, 15.83593750, 2.50384360, 15.83593750, 2.49844366, 15.83593750, 0.30801292, 15.83593750, 0.39184388, 15.83593750
7610, 14563061, 5.38813390, 15.83593750, 2.58323532, 15.83593750, 2.59197198, 15.83593750, 0.31067962, 15.83593750, 0.39503668, 15.83593750
7710, 14953229, 5.77888954, 15.84843750, 2.65149066, 15.84843750, 2.70594782, 15.84843750, 0.31055318, 15.85156250, 0.38094470, 15.85156250
7810, 15343664, 5.81122426, 15.77656250, 2.72024756, 15.77656250, 2.70304876, 15.77656250, 0.30815280, 15.82656250, 0.33307454, 15.75781250
7910, 15703890, 5.77096696, 15.75859375, 2.76038780, 15.75859375, 2.71654750, 15.75859375, 0.30634680, 15.82421875, 0.39828692, 15.75781250
8010, 16063924, 6.07641450, 15.76171875, 2.87567832, 15.76171875, 2.89550104, 15.76171875, 0.31239662, 15.83437500, 0.30340366, 15.76171875
8110, 16439553, 6.25605286, 15.76562500, 2.92509064, 15.76562500, 2.88208312, 15.76562500, 0.31691636, 15.83828125, 0.38745600, 15.76562500
8210, 16895913, 6.21530854, 15.76562500, 2.99049480, 15.76562500, 2.97144638, 15.76562500, 0.30973414, 15.83828125, 0.39696316, 15.76562500
8310, 17270103, 6.62672116, 15.76562500, 3.05614612, 15.76562500, 3.17636764, 15.76562500, 0.31209774, 15.83593750, 0.37315702, 15.76562500
8410, 17676697, 6.55062702, 15.76875000, 3.13686622, 15.76875000, 3.39900416, 15.76875000, 0.31126630, 15.84218750, 0.29801036, 15.76953125
8510, 18165788, 7.13980780, 15.76953125, 3.20610384, 15.76953125, 3.15115302, 15.76953125, 0.31690286, 15.84218750, 0.33381508, 15.76953125
8610, 18603011, 6.85616172, 15.76953125, 3.28103720, 15.76953125, 3.47932704, 15.76953125, 0.32992664, 15.84609375, 0.29764374, 15.76953125
8710, 19020783, 7.07546792, 15.76953125, 3.35626356, 15.76953125, 3.30709238, 15.76953125, 0.33017352, 15.84375000, 0.28118034, 15.76953125
8810, 19483275, 7.45965740, 15.77265625, 3.43486080, 15.77265625, 3.41393834, 15.77265625, 0.31330896, 15.85390625, 0.30599640, 15.77343750
8910, 19947316, 7.57909862, 15.78281250, 3.47881402, 15.78281250, 3.46342372, 15.78281250, 0.31951412, 15.85390625, 0.26957572, 15.77734375
9010, 20367053, 7.73219040, 15.77968750, 3.55580632, 15.77968750, 3.54058136, 15.77968750, 0.31977244, 15.84765625, 0.26873428, 15.77343750
9110, 20788393, 7.78019544, 15.77656250, 3.84879724, 15.77656250, 3.96469774, 15.77656250, 0.31619220, 15.86953125, 0.26831546, 15.77734375
9210, 21222889, 8.36518710, 15.77734375, 3.92683488, 15.77734375, 3.68486230, 15.77734375, 0.34225298, 15.86171875, 0.27088390, 15.77734375
9310, 21688991, 8.01646544, 15.77734375, 3.79715080, 15.77734375, 3.76309426, 15.77734375, 0.34525884, 15.86171875, 0.26822640, 15.77734375
9410, 22150795, 8.13211162, 15.77812500, 3.88072836, 15.77812500, 3.85070256, 15.77812500, 0.32831456, 15.85937500, 0.26902984, 15.77734375
9510, 22626761, 8.31267128, 15.78046875, 4.09877678, 15.78046875, 4.08481554, 15.78046875, 0.33197808, 15.86953125, 0.26821434, 15.78125000
9610, 23151984, 8.52779764, 15.78828125, 4.06915724, 15.78828125, 4.03747816, 15.78828125, 0.32456432, 15.87656250, 0.29068710, 15.79531250
9710, 23615183, 8.67403506, 15.82031250, 4.18482374, 15.82031250, 4.12916396, 15.82031250, 0.32647192, 15.90468750, 0.27268412, 15.82031250
9810, 24126707, 8.86453552, 15.81718750, 4.19609742, 15.81718750, 4.13073290, 15.81718750, 0.32296552, 15.90234375, 0.26795956, 15.81640625
9910, 24580370, 8.99363094, 15.88281250, 4.29052554, 15.88281250, 4.23333926, 15.88281250, 0.34321854, 15.98593750, 0.27569884, 15.90234375
10010, 25046884, 9.16474082, 15.91718750, 4.40321524, 15.91718750, 4.30904566, 15.91718750, 0.32897498, 16.00625000, 0.27528056, 15.91796875
10110, 25545980, 9.80752072, 15.91796875, 4.48935040, 15.91796875, 5.13735052, 15.91796875, 0.34121596, 16.00625000, 0.28592776, 15.91796875
10210, 26083562, 10.24279042, 15.91484375, 4.52780422, 15.91484375, 4.79926990, 15.91484375, 0.34999454, 16.00703125, 0.29541582, 15.91406250
10310, 26615184, 10.17069748, 15.91718750, 4.71884856, 15.91718750, 4.63926038, 15.91718750, 0.33681532, 16.01875000, 0.27492998, 15.91796875
10410, 27152705, 10.00487690, 15.92812500, 4.72273482, 15.92812500, 4.66557592, 15.92812500, 0.33309580, 16.01875000, 0.31262458, 15.92968750
10510, 27688492, 10.96630742, 15.93281250, 4.81441648, 15.93281250, 4.78528826, 15.93281250, 0.34991396, 16.02187500, 0.27989376, 15.93359375
10610, 28211934, 10.33638614, 15.92734375, 4.89921454, 15.92734375, 4.86586270, 15.92734375, 0.35925998, 16.01953125, 0.29971992, 15.92578125
10710, 28680396, 10.99094156, 15.92968750, 5.00370988, 15.92968750, 5.52301642, 15.92968750, 0.34788636, 16.02343750, 0.29084060, 15.92968750
10810, 29203147, 10.92374044, 15.93281250, 5.08768806, 15.93281250, 5.05156038, 15.93281250, 0.37433770, 16.02656250, 0.29486864, 15.93359375
10910, 29748498, 11.08134566, 15.93359375, 5.21386158, 15.93359375, 5.55404950, 15.93359375, 0.34814210, 16.02656250, 0.29875788, 15.93359375
11010, 30276259, 11.36891466, 15.93046875, 5.41022932, 15.93046875, 5.20874892, 15.93046875, 0.37209922, 16.02656250, 0.30072632, 15.92968750
11110, 30820872, 11.32947444, 15.93671875, 5.48729602, 15.93671875, 5.29030104, 15.93671875, 0.36704992, 16.06796875, 0.31112640, 15.93750000
11210, 31367358, 11.58768036, 15.94218750, 5.41286728, 15.94218750, 5.47906766, 15.94218750, 0.35382050, 16.03359375, 0.28341788, 15.93359375
11310, 31924285, 11.71920134, 15.96171875, 5.56589944, 15.96171875, 5.94474128, 15.96171875, 0.33868262, 16.06640625, 0.28539414, 15.96875000
11410, 32479125, 12.17193664, 15.97500000, 5.61258958, 15.97500000, 5.53308792, 15.97500000, 0.37523872, 16.07812500, 0.28749130, 15.97656250
11510, 33039371, 12.16743610, 15.97656250, 5.73322772, 15.97656250, 5.60618630, 15.97656250, 0.35442786, 16.07812500, 0.28609346, 15.97656250
11610, 33592361, 12.44248420, 15.98125000, 5.90263536, 15.98125000, 5.76520626, 15.98125000, 0.36856564, 16.07812500, 0.29421120, 15.98046875
11710, 34222185, 12.51096730, 15.98046875, 5.95154930, 15.98046875, 5.97219030, 15.98046875, 0.34635596, 16.08203125, 0.28747202, 15.98046875
11810, 34765885, 13.05350778, 15.98046875, 5.97745324, 15.98046875, 6.43872400, 15.98046875, 0.34862140, 16.08593750, 0.28224038, 15.98046875
11910, 35338902, 12.87489464, 15.98125000, 6.23234596, 15.98125000, 6.68364372, 15.98125000, 0.34320604, 16.08750000, 0.29258568, 15.98203125
12010, 35986091, 13.42957932, 15.98437500, 6.64125874, 15.98437500, 6.09109210, 15.98437500, 0.37050492, 16.08984375, 0.30348354, 15.98437500
12110, 36613949, 13.43320350, 15.98437500, 6.34259722, 15.98437500, 6.36741500, 15.98437500, 0.36804740, 16.10937500, 0.30628648, 15.98437500
12210, 37271800, 14.19507410, 15.98437500, 6.44187946, 15.98437500, 6.40460406, 15.98437500, 0.38666132, 16.11328125, 0.30804914, 15.98437500
12310, 37851019, 13.93833204, 16.04843750, 6.53827872, 16.04843750, 6.45077480, 16.04843750, 0.37153016, 16.18671875, 0.28878896, 16.06718750
12410, 38476938, 14.35147686, 16.08515625, 6.63776766, 16.08515625, 6.60877006, 16.08515625, 0.37917052, 16.20156250, 0.29375694, 16.08593750
12510, 39100636, 14.80297798, 16.08593750, 6.72943770, 16.08593750, 6.86238872, 16.08593750, 0.37160366, 16.19921875, 0.31164778, 16.08593750
12610, 39694963, 14.84244810, 16.10234375, 7.10654206, 16.10234375, 7.04536766, 16.10234375, 0.37787518, 16.21562500, 0.31823154, 16.10546875
12710, 40236203, 14.68424238, 16.10546875, 7.06610332, 16.10546875, 6.77989938, 16.10546875, 0.38612312, 16.21484375, 0.28717566, 16.10546875
12810, 40826389, 15.04028222, 16.10546875, 7.11709162, 16.10546875, 6.96063018, 16.10546875, 0.38350280, 16.21484375, 0.30041494, 16.10546875
12910, 41423985, 16.19874506, 16.10546875, 7.17197040, 16.10546875, 7.09369902, 16.10546875, 0.37691760, 16.22656250, 0.31453152, 16.10546875
13010, 42023216, 15.47453224, 16.10546875, 7.30842816, 16.10546875, 7.15163906, 16.10546875, 0.38556230, 16.23437500, 0.31251758, 16.10546875
13110, 42728647, 15.64850820, 16.10546875, 7.93849946, 16.10546875, 7.39361232, 16.10546875, 0.37069112, 16.22656250, 0.30381776, 16.10546875
13210, 43376739, 16.23213372, 16.11562500, 7.49152866, 16.11562500, 7.39885132, 16.11562500, 0.38186806, 16.23281250, 0.29445530, 16.11562500
13310, 44055934, 16.07498342, 16.10937500, 7.70819674, 16.10937500, 7.98066578, 16.10937500, 0.39244948, 16.23437500, 0.32663620, 16.10937500
13410, 44689580, 16.97675460, 16.10937500, 7.78404920, 16.10937500, 7.96153444, 16.10937500, 0.39686576, 16.23437500, 0.31252864, 16.10937500
13510, 45333131, 17.31813288, 16.10937500, 7.93649632, 16.10937500, 7.69421758, 16.10937500, 0.39574140, 16.23828125, 0.31406396, 16.10937500
13610, 45971108, 17.14789224, 16.11250000, 7.93502370, 16.11250000, 7.74772856, 16.11250000, 0.41103598, 16.24765625, 0.31899560, 16.11562500
13710, 46693227, 17.03845148, 16.12500000, 8.04283858, 16.12500000, 8.10847590, 16.12500000, 0.39638810, 16.25703125, 0.30739340, 16.12500000
13810, 47341654, 18.41930160, 16.12812500, 8.18192182, 16.12812500, 8.01362546, 16.12812500, 0.37976988, 16.26171875, 0.29932568, 16.12890625
13910, 47972644, 18.35373538, 16.14140625, 8.31650074, 16.14140625, 8.04128576, 16.14140625, 0.40220174, 16.27734375, 0.31323114, 16.14453125
14010, 48665512, 17.79231954, 16.15000000, 8.48348916, 16.15000000, 8.26115868, 16.15000000, 0.39997082, 16.30234375, 0.31667350, 16.16718750
14110, 49353754, 18.36148544, 16.23046875, 8.86627346, 16.23046875, 8.42510992, 16.23046875, 0.40843562, 16.36718750, 0.31216216, 16.23046875
14210, 50024431, 18.29463068, 16.23046875, 8.66439916, 16.23046875, 8.46658440, 16.23046875, 0.39826906, 16.36718750, 0.31740492, 16.23046875
14310, 50711977, 18.71092706, 16.23437500, 8.75742028, 16.23437500, 8.54735072, 16.23437500, 0.40292402, 16.36718750, 0.32996866, 16.23437500
14410, 51405366, 19.05310946, 16.23750000, 8.95801904, 16.23750000, 8.67234918, 16.23750000, 0.39686922, 16.37656250, 0.32476558, 16.23906250
14510, 52161426, 19.36024878, 16.24218750, 9.03861042, 16.24218750, 9.35194062, 16.24218750, 0.38502522, 16.38750000, 0.32516482, 16.24218750
14610, 52872912, 19.91915832, 16.24218750, 9.14400634, 16.24218750, 9.44801454, 16.24218750, 0.41095094, 16.39453125, 0.34323106, 16.24218750
14710, 53634655, 20.09767436, 16.24609375, 9.64640166, 16.24609375, 9.13970180, 16.24609375, 0.40247752, 16.40234375, 0.31354292, 16.24609375
14810, 54375730, 20.19308754, 16.24609375, 9.41547190, 16.24609375, 9.16770892, 16.24609375, 0.40902788, 16.40234375, 0.33238280, 16.24609375
14910, 55082657, 21.24771042, 16.24921875, 9.65247044, 16.24921875, 9.86547810, 16.24921875, 0.40311454, 16.40234375, 0.31559542, 16.25000000
15010, 55888821, 20.56303456, 16.25000000, 9.63836908, 16.25000000, 9.49450850, 16.25000000, 0.41849626, 16.40234375, 0.34325598, 16.25000000
15110, 56702435, 20.85488814, 16.25000000, 9.74614842, 16.25000000, 9.56452914, 16.25000000, 0.40459140, 16.40234375, 0.33124224, 16.25000000
15210, 57525749, 20.95036824, 16.27812500, 9.90071810, 16.27812500, 9.75489914, 16.27812500, 0.42230974, 16.45937500, 0.32030322, 16.28515625
15310, 58262592, 21.32124248, 16.28515625, 10.03050334, 16.28515625, 10.82818482, 16.28515625, 0.39470416, 16.44531250, 0.32700952, 16.28515625
15410, 59020796, 21.65362494, 16.28515625, 10.13617454, 16.28515625, 9.88635774, 16.28515625, 0.41998924, 16.44531250, 0.34513796, 16.28515625
