Size of Data, Degree of Sortedness, Bubble Runtime, Bubble Footprint, Selection Runtime, Selection Footprint, Insertion Runtime, Insertion Footprint, MergeSort Runtime, MergeSort Footprint, QuickSort Runtime, QuickSort Footprint
4510, 4961593, 2.20682626, 15.44140625, 1.12344070, 15.44140625, 1.19434676, 15.44140625, 0.33307896, 15.44140625, 0.34957688, 15.44140625
4610, 5178052, 2.29870182, 15.45078125, 1.09603466, 15.45078125, 1.07721244, 15.45078125, 0.26050854, 15.45312500, 0.37233580, 15.45312500
4710, 5416501, 2.22364698, 15.36250000, 1.16446570, 15.36562500, 1.08591046, 15.36718750, 0.28486344, 15.39062500, 0.39435260, 15.33281250
4810, 5661391, 2.31185352, 15.35625000, 1.22888242, 15.35703125, 1.13604562, 15.35703125, 0.28286032, 15.36406250, 0.39329110, 15.36562500
4910, 5921076, 2.46007242, 15.37031250, 1.21662398, 15.37031250, 1.17325834, 15.37031250, 0.30335442, 15.37109375, 0.44021850, 15.37109375
5010, 6193009, 2.50989864, 15.37421875, 1.24323072, 15.37421875, 1.23711730, 15.37421875, 0.28651642, 15.37500000, 0.40742336, 15.37500000
5110, 6449141, 2.64703472, 15.37500000, 1.30530442, 15.37500000, 1.31648088, 15.37500000, 0.28016616, 15.37500000, 0.38915460, 15.37500000
5210, 6702646, 2.90782710, 15.37890625, 2.20220328, 15.37890625, 1.37001230, 15.37890625, 0.28282010, 15.37968750, 0.40006974, 15.38046875
5310, 6948880, 2.82199382, 15.38281250, 1.40419104, 15.38281250, 1.39448262, 15.38281250, 0.27706422, 15.38281250, 0.38407814, 15.38281250
5410, 7215464, 3.04086132, 15.38593750, 1.46956940, 15.38593750, 1.43768566, 15.38593750, 0.33807556, 15.38671875, 0.42810916, 15.38671875
5510, 7519395, 3.02957380, 15.38984375, 1.49090126, 15.38984375, 1.41889988, 15.38984375, 0.28592788, 15.39062500, 0.45306800, 15.39062500
5610, 7811400, 2.94107144, 15.39062500, 1.46914680, 15.39062500, 1.43206316, 15.39062500, 0.28436984, 15.39062500, 0.41295608, 15.39062500
5710, 8086816, 3.20340770, 15.37343750, 1.55734722, 15.37343750, 1.52354446, 15.37343750, 0.28817888, 15.36484375, 0.39012994, 15.36484375
5810, 8374379, 3.39127206, 15.34765625, 1.63324908, 15.34765625, 1.60938266, 15.34765625, 0.27969866, 15.34765625, 0.26132802, 15.34765625
5910, 8680794, 3.70583188, 15.34765625, 1.68475814, 15.34765625, 1.67400350, 15.34765625, 0.27143932, 15.34765625, 0.37990300, 15.34765625
6010, 8982096, 3.55298876, 15.34765625, 1.74481442, 15.34765625, 1.75496260, 15.34765625, 0.27646812, 15.34765625, 0.35740964, 15.34765625
6110, 9315424, 3.63337300, 15.35078125, 1.82734306, 15.35078125, 1.78512326, 15.35078125, 0.28085098, 15.35156250, 0.28568948, 15.35156250
6210, 9600851, 3.80320330, 15.36093750, 1.85885100, 15.36093750, 1.86207202, 15.36093750, 0.27925758, 15.36328125, 0.25765644, 15.36328125
6310, 9912329, 3.97188232, 15.36328125, 1.90260386, 15.36328125, 1.89270654, 15.36328125, 0.28107842, 15.36328125, 0.33530754, 15.36328125
6410, 10239521, 4.07148108, 15.36640625, 1.99230526, 15.36640625, 1.98320634, 15.36640625, 0.28550868, 15.36718750, 0.26505090, 15.36718750
6510, 10546301, 4.25831006, 15.36875000, 2.03303782, 15.36875000, 2.03143830, 15.36875000, 0.29389646, 15.36875000, 0.26872134, 15.36953125
