Size of Data, Degree of Sortedness, Bubble Runtime, Bubble Footprint, Selection Runtime, Selection Footprint, Insertion Runtime, Insertion Footprint, MergeSort Runtime, MergeSort Footprint, QuickSort Runtime, QuickSort Footprint
6510, 10523792, 4.01443192, 15.33437500, 1.93815584, 15.33437500, 1.87552628, 15.33437500, 0.29520426, 15.33593750, 0.38054590, 15.33593750
6610, 10849545, 4.11793084, 15.33593750, 1.97760586, 15.33593750, 2.08835432, 15.33593750, 0.31370738, 15.33593750, 0.38795934, 15.33593750
6710, 11216118, 4.31755086, 15.33593750, 2.08803884, 15.33593750, 2.01615000, 15.33593750, 0.32552724, 15.33593750, 0.38830844, 15.33593750
6810, 11548088, 4.34206524, 15.33906250, 2.09434814, 15.33906250, 2.04794766, 15.33906250, 0.34739132, 15.33984375, 0.43515796, 15.33984375
6910, 11906281, 4.49304080, 15.29296875, 2.19043972, 15.29296875, 2.10762460, 15.29296875, 0.31559994, 15.33984375, 0.50323708, 15.28125000
7010, 12268393, 4.76060682, 15.28125000, 2.22908198, 15.28125000, 2.24049676, 15.28125000, 0.29939402, 15.34375000, 0.41249494, 15.28125000
7110, 12623696, 4.73469110, 15.28125000, 2.28605010, 15.28125000, 2.37724128, 15.28125000, 0.32887090, 15.34375000, 0.39737252, 15.28125000
7210, 13007700, 4.87816968, 15.29140625, 2.41248884, 15.29140625, 2.43957084, 15.29140625, 0.35349514, 15.34765625, 0.41524856, 15.29296875
7310, 13340745, 4.99230206, 15.29609375, 2.41983204, 15.29609375, 2.35825142, 15.29609375, 0.30271664, 15.34765625, 0.40931790, 15.29687500
7410, 13721812, 5.10516478, 15.29687500, 2.45692540, 15.29687500, 2.44870290, 15.29687500, 0.31087032, 15.35156250, 0.39683954, 15.29687500
7510, 14131049, 5.55590454, 15.29687500, 2.53378248, 15.29687500, 2.47313166, 15.29687500, 0.31163994, 15.35156250, 0.40104816, 15.29687500
7610, 14512689, 5.40411864, 15.29687500, 2.60329408, 15.29687500, 2.59712324, 15.29687500, 0.32788042, 15.35546875, 0.38636396, 15.29687500
7710, 14883406, 5.66913984, 15.29687500, 2.66242818, 15.29687500, 2.60579234, 15.29687500, 0.30895590, 15.35937500, 0.26655614, 15.29687500
7810, 15243491, 5.74943300, 15.30000000, 2.71214250, 15.30000000, 2.86398762, 15.30000000, 0.31965782, 15.35937500, 0.40293626, 15.30078125
7910, 15655751, 6.27918752, 15.30078125, 3.06996208, 15.30078125, 2.97658932, 15.30078125, 0.39669310, 15.36328125, 0.51528692, 15.30078125
8010, 16023444, 6.31535210, 15.30078125, 3.04088294, 15.30078125, 3.04280380, 15.30078125, 0.36965648, 15.36328125, 0.41468544, 15.30078125
8110, 16444319, 6.41763394, 15.30078125, 3.06300030, 15.30078125, 3.01911484, 15.30078125, 0.34186458, 15.36328125, 0.40349294, 15.30078125
8210, 16863137, 6.56742372, 15.30468750, 3.17156842, 15.30468750, 3.11981356, 15.30468750, 0.36101442, 15.37109375, 0.40451754, 15.30468750
8310, 17279785, 6.71272378, 15.30781250, 3.19218382, 15.30781250, 3.09288968, 15.30781250, 0.37118088, 15.37890625, 0.45200522, 15.30859375
8410, 17740462, 6.83348400, 15.30859375, 3.28334758, 15.30859375, 3.39453820, 15.30859375, 0.33988684, 15.37890625, 0.29942568, 15.30859375
8510, 18146503, 7.02192984, 15.30859375, 3.39513818, 15.30859375, 3.31940378, 15.30859375, 0.37591964, 15.37890625, 0.35851392, 15.30859375
8610, 18593345, 7.26378530, 15.30859375, 3.50209526, 15.30859375, 3.41780104, 15.30859375, 0.39660150, 15.37890625, 0.32517524, 15.30859375
8710, 19056436, 7.30314920, 15.30859375, 3.57499164, 15.30859375, 3.49175500, 15.30859375, 0.39517502, 15.38671875, 0.39402326, 15.30859375
8810, 19520631, 7.47098536, 15.30859375, 3.65754882, 15.30859375, 3.64194890, 15.30859375, 0.39552178, 15.38671875, 0.32607048, 15.30859375
8910, 19967246, 7.76165912, 15.31171875, 3.70694270, 15.31171875, 3.70580962, 15.31171875, 0.39951750, 15.38671875, 0.33406242, 15.31250000
9010, 20387205, 7.94408970, 15.31250000, 3.73330686, 15.31250000, 3.85700922, 15.31250000, 0.38097356, 15.39062500, 0.38486738, 15.31250000
9110, 20823695, 8.09163438, 15.31250000, 3.85431752, 15.31250000, 3.83774864, 15.31250000, 0.37801974, 15.39843750, 0.34408976, 15.31250000
9210, 21243321, 8.23689754, 15.31250000, 3.89273656, 15.31250000, 3.86166290, 15.31250000, 0.39267198, 15.40234375, 0.33593120, 15.31250000
9310, 21667923, 8.49940706, 15.31796875, 3.95514654, 15.32265625, 4.00120488, 15.32656250, 0.34056558, 15.39531250, 0.28595736, 15.31640625
9410, 22201592, 8.66309878, 15.31875000, 4.03751854, 15.32421875, 4.09581740, 15.32968750, 0.35058424, 15.40937500, 0.30914130, 15.29921875
9510, 22657616, 8.59271162, 15.29921875, 4.10928484, 15.29921875, 4.11961978, 15.30078125, 0.38289368, 15.39765625, 0.32291104, 15.30546875
9610, 23133659, 8.89737052, 15.32187500, 4.18126964, 15.32421875, 4.36568410, 15.32500000, 0.36484620, 15.41640625, 0.30881004, 15.31328125
9710, 23607044, 9.13222286, 15.31171875, 4.29545526, 15.31562500, 4.23611122, 15.31875000, 0.38704688, 15.39609375, 0.30637240, 15.31875000
9810, 24100435, 9.26161254, 15.36640625, 4.37623498, 15.36796875, 4.56959504, 15.36953125, 0.39425786, 15.47031250, 0.33928678, 15.37343750
9910, 24551377, 9.45703240, 15.37812500, 4.49988758, 15.37812500, 4.55142648, 15.37812500, 0.37836124, 15.47265625, 0.31576740, 15.37890625
